City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
554,crieff,56.3727,-3.8389,275.45,85,11,1.94,GB,1701206450
555,kafin hausa,12.2375,9.908,300.47,20,9,4.09,NG,1701206451
556,ancud,-41.8697,-73.8203,285.21,78,41,6.52,CL,1701206451
557,ust'-ilimsk,58.0006,102.6619,250.91,99,64,1.61,RU,1701206452
558,namie,37.4833,141.0,279.25,75,15,4.34,JP,1701206452
559,guerrero negro,27.9769,-114.0611,295.0,52,100,3.54,MX,1701206200
560,dawei,14.0833,98.2,294.88,66,53,2.88,MM,1701206453
561,fayetteville,35.0527,-78.8784,285.44,33,0,5.14,US,1701206179
562,limassol,34.675,33.0333,284.19,71,40,1.54,CY,1701206454
563,tha mai,12.6214,102.0048,296.25,72,54,3.58,TH,1701206455
564,abaza,52.655,90.0928,259.77,98,96,0.77,RU,1701206455
565,lianjiang,21.6467,110.2817,292.91,71,100,2.56,CN,1701206402
566,constantia,44.1833,28.65,283.54,88,100,13.07,RO,1701206456
567,port douglas,-16.4833,145.4667,298.77,80,81,1.05,AU,1701206457
568,kawalu,-7.3817,108.2082,294.91,95,95,0.49,ID,1701206457
569,el calafate,-50.3408,-72.2768,283.26,48,9,6.73,AR,1701206458
570,ambalangoda,6.2355,80.0538,298.09,86,93,1.58,LK,1701206458
571,holualoa,19.6228,-155.9522,298.98,76,40,4.63,US,1701206459
572,kampong thom,12.7111,104.8887,294.85,73,97,2.88,KH,1701206460
573,cockburn town,21.4612,-71.1419,300.46,70,50,3.98,TC,1701206460
574,lata,40.1629,-8.3327,289.71,94,91,2.13,PT,1701206461
575,usogorsk,63.4106,48.6872,267.41,93,100,3.77,RU,1701206461
576,lantapan,7.9978,125.0278,294.5,94,48,1.05,PH,1701206462
577,taveta,-3.3963,37.6736,294.91,84,74,2.15,KE,1701206462
578,gobabis,-22.45,18.9667,295.12,51,97,12.11,NA,1701206463
579,tanumah,27.1,44.1333,289.41,55,63,4.16,SA,1701206463
580,vorkuta,67.5,64.0,260.46,91,100,3.0,RU,1701206464
581,dunedin,-45.8742,170.5036,284.15,57,26,4.02,NZ,1701206173
582,maceio,-9.6658,-35.7353,299.84,73,20,5.66,BR,1701206465
583,kudahuvadhoo,2.6708,72.8944,300.46,79,100,4.65,MV,1701206466
584,weiser,44.251,-116.9693,276.29,63,6,0.45,US,1701206466
585,rexburg,43.826,-111.7897,280.67,33,0,0.82,US,1701206467
